tweet_id,date,user_id,followers,place,lat,lng,text,source,hashtags,urls,retweet_id
590876462766551041,Wed Apr 22 13:55:01 +0000 2015,135326151,83,"Manhattan, NY",40.763519,-73.967285,"I know in NYC we treat each other like furniture, but when someone is carrying furniture you should probably ways out. #chairproblems",Twitter for iPhone,"[{u'indices': [119, 133], u'text': u'chairproblems'}]",[],
590876464171634689,Wed Apr 22 13:55:01 +0000 2015,2267286620,299,"Manhattan, NY",40.76176,-73.976379,@sprintcare @marceloclaure I’m really not trying to gamble my AT&amp;T account with unlimited data but thanks anyways.,Tweetbot for iΟS,[],[],
590876466134429699,Wed Apr 22 13:55:02 +0000 2015,2976818579,58,"Bronx, NY",40.871385,-73.827526,@RealJeffJarrett can u follow me,Twitter for Android,[],[],
590876471851294721,Wed Apr 22 13:55:03 +0000 2015,78777538,99,"Brooklyn, NY",40.694333,-73.906344,which isn't a bad thing (especially the cooking part),Twitter for iPhone,[],[],
590876472975458305,Wed Apr 22 13:55:03 +0000 2015,2917684240,43,"Brooklyn, NY",40.680005,-73.942608,"Saturday!!!

#monkeyfistmma #kidsmartialarts #summercamp #kickboxing #fitnesskickboxing #bjj #jiujitsu #howardbeach http://t.co/6DiMpiZBsR",Twitter for iPhone,"[{u'indices': [13, 27], u'text': u'monkeyfistmma'}, {u'indices': [28, 44], u'text': u'kidsmartialarts'}, {u'indices': [45, 56], u'text': u'summercamp'}, {u'indices': [57, 68], u'text': u'kickboxing'}, {u'indices': [69, 87], u'text': u'fitnesskickboxing'}, {u'indices': [88, 92], u'text': u'bjj'}, {u'indices': [93, 102], u'text': u'jiujitsu'}, {u'indices': [103, 115], u'text': u'howardbeach'}]",[],
590876478562312192,Wed Apr 22 13:55:05 +0000 2015,440551426,2510,"Secaucus, NJ",40.761941,-74.074098,@CheersSJ any more @CoronadoBrewing events coming up?,Twitter for iPhone,[],[],
590876481624141824,Wed Apr 22 13:55:05 +0000 2015,174900655,845,"Manhattan, NY",40.721022,-74.00611,"#ImaginationTalks (@ Spring Studios - @wearespring in New York, NY) https://t.co/r2V7baGt5H",Foursquare,"[{u'indices': [0, 17], u'text': u'ImaginationTalks'}]",['https://www.swarmapp.com/c/6YjEy9bRjYc'],
590876483750653952,Wed Apr 22 13:55:06 +0000 2015,138505968,495,"Manhattan, NY",40.766658,-73.962713,Holy crap! Mary R is #killingit @sltnyc MIDTOWN for the #sltchallenge 1 ARM GIANT REVERSE SNAKE to… https://t.co/ZUepelXEGK,Instagram,"[{u'indices': [21, 31], u'text': u'killingit'}, {u'indices': [56, 69], u'text': u'sltchallenge'}]",['https://instagram.com/p/1x5YQhKldb/'],
590876485705170944,Wed Apr 22 13:55:06 +0000 2015,1095999456,128,"Clifton, NJ",40.843642,-74.157507,Its so damn nice out!!!,Twitter for iPhone,[],[],
590876486590160896,Wed Apr 22 13:55:07 +0000 2015,192468818,257,"Queens, NY",40.777599,-73.900963,9⃣ days til #HouseParadiso at @baroquenyc #dance #nightlife #nyc #fridays #house #nxny 🔄🆙 @ Baroque https://t.co/425RWwaKmc,Instagram,"[{u'indices': [12, 26], u'text': u'HouseParadiso'}, {u'indices': [42, 48], u'text': u'dance'}, {u'indices': [49, 59], u'text': u'nightlife'}, {u'indices': [60, 64], u'text': u'nyc'}, {u'indices': [65, 73], u'text': u'fridays'}, {u'indices': [74, 80], u'text': u'house'}, {u'indices': [81, 86], u'text': u'nxny'}]",['https://instagram.com/p/1x5YY3RgSo/'],
590876492919373826,Wed Apr 22 13:55:08 +0000 2015,431073334,157,"Manhattan, NY",40.754632,-73.976294,"In support of Earth Day, @BofA_Community and chashama unveiled Chandelier sculptures made of… https://t.co/Su4jBYuOm5",Instagram,[],['https://instagram.com/p/1x5YkzhS3S/'],
590876494722945024,Wed Apr 22 13:55:08 +0000 2015,26270971,6474,"Manhattan, NY",40.71327,-73.978612,@MatthewACherry thanks fam.,Twitter for iPhone,[],[],
590876494324457472,Wed Apr 22 13:55:08 +0000 2015,351703327,1139,"Newark, NJ",40.781672,-74.170864,Lol @Getem_young I didn't know what she meant when she said waiting on 4 months 😩 http://t.co/I1YrHov80i,Twitter for iPhone,[],[],
590876498552291328,Wed Apr 22 13:55:09 +0000 2015,2510435232,135,"Queens, NY",40.744669,-73.935265,Halal at 9 in the morning is a bad idea just saying 😲💩,Twitter for iPhone,[],[],
